"totalCost","totalQty"
"7718","8"
"10536","16"
"19461","2"
"7491","16"
"3173","16"
"7364","11"
"7215","11"
"13567","6"
"4242","7"
"12706","2"
"7634","17"
"4855","4"
"8064","16"
"12390","16"
"9156","17"
"11703","15"
"11254","10"
"8598","17"
"11725","19"
"10959","15"
"10543","1"
"10873","11"
"14215","6"
"4623","6"
"15284","13"
"1145","3"
"6782","10"
"17769","18"
"4387","7"
"290","18"
"496","8"
"12275","0"
"3691","9"
"12480","2"
"8877","2"
"17953","9"
"2349","11"
"13732","0"
"12567","17"
"19662","9"
"15548","17"
"5727","5"
"5411","5"
"15988","0"
"17501","1"
"7973","11"
"18326","17"
"5166","11"
"5960","4"
"3019","11"
"1993","4"
"5469","6"
"15716","9"
"329","6"
"16293","16"
"16480","5"
"782","12"
"857","10"
"3975","11"
"9658","16"
"13586","14"
"16309","8"
"1468","11"
"14063","17"
"18416","3"
"11068","5"
"5","17"
"9414","10"
"6488","2"
"8365","6"
"19604","11"
"10664","17"
"17325","8"
"8553","14"
"16429","11"
"12095","5"
"6566","18"
"2005","16"
"102","2"
"1464","12"
"4264","2"
"14261","19"
"10086","4"
"9153","4"
"19052","11"
"9906","12"
"13545","5"
"11690","8"
"1791","3"
"7093","4"
"2873","11"
"8776","2"
"16508","2"
"2921","8"
"13334","0"
"8781","1"
"947","17"
"9596","14"
"18127","18"
"2065","10"
"14182","5"
"5597","2"
"9126","18"
"4364","11"
"5030","4"
"10271","4"
"7920","8"
"5624","9"
"5881","8"
"2037","11"
"658","15"
"115","19"
"1207","17"
"12819","9"
"325","15"
"19002","14"
"16456","13"
"17363","11"
"17969","16"
"4847","11"
"18567","19"
"6029","15"
"10133","9"
"3444","4"
"1025","6"
"19068","5"
"18173","8"
"13165","4"
"7638","12"
"4576","16"
"16874","6"
"5985","2"
"12535","10"
"18038","4"
"15918","9"
"18393","18"
"12614","12"
"18273","0"
"8012","3"
"4223","1"
"7960","7"
"9796","3"
"8572","6"
"15712","19"
"18677","12"
"7013","16"
"16644","16"
"6922","0"
"9014","0"
"6796","15"
"7679","18"
"2606","5"
"1958","3"
"17377","11"
"11642","14"
"16542","14"
"7874","3"
"7632","4"
"1425","10"
"7344","19"
"4440","8"
"18088","4"
"14902","9"
"8920","9"
"4651","3"
"15959","8"
"3498","18"
"14161","8"
"7084","13"
"1039","17"
"66","6"
"19893","0"
"14242","6"
"3844","13"
"3586","16"
"8640","14"
"15875","8"
"14443","1"
"5669","8"
"4848","17"
"9592","11"
"10908","2"
"15218","6"
"13895","11"
"3293","8"
"10993","17"
"16904","2"
"2823","15"
"2333","12"
"836","17"
"7059","11"
"4660","2"
"18234","4"
"13876","10"
"7123","14"
"5909","0"
"9794","4"
"5024","5"
"18716","2"
"9811","6"
"15738","2"
"7498","0"
"2640","14"
"14456","7"
"343","6"
"7732","8"
"5350","0"
"1297","0"
"16096","9"
"8134","19"
"14342","2"
"18764","10"
"13037","15"
"11366","17"
"15850","9"
"7514","17"
"17194","2"
"16029","9"
"5279","0"
"9838","4"
"18452","14"
"16440","19"
"16225","15"
"16059","13"
"19066","9"
"8004","5"
"1442","13"
"1593","7"
"1885","15"
"2097","0"
"15490","0"
"18688","7"
"6191","0"
"6224","13"
"12952","2"
"10538","17"
"10327","10"
"8948","5"
"9415","7"
"6997","19"
"19020","2"
"6164","19"
"16585","7"
"10239","2"
"11893","19"
"11943","11"
"3112","15"
"4168","18"
