"totalCost","totalQty"
"18315","2"
"1950","5"
"9857","15"
"3785","15"
"14654","0"
"16447","9"
"1977","17"
"19836","10"
"8683","8"
"8881","18"
"5627","17"
"15133","12"
"357","2"
"14499","2"
"1574","10"
"17677","13"
"6","5"
"5053","10"
"12290","0"
"2188","9"
"4181","3"
"7201","4"
"8834","14"
"12111","0"
"7105","2"
"8267","6"
"11651","1"
"15177","9"
"2628","16"
"6482","6"
"3501","6"
"2532","10"
"17026","6"
"902","4"
"1038","4"
"11878","13"
"17737","1"
"10002","0"
"14084","3"
"11567","4"
"8113","15"
"18297","14"
"11313","5"
"5527","6"
"2395","15"
"14554","5"
"13158","9"
"7730","15"
"3540","5"
"7789","11"
"5563","10"
"11469","7"
"19216","18"
"5637","19"
"17106","16"
"4144","7"
"17233","13"
"14477","9"
"3577","6"
"1051","10"
"8703","16"
"429","5"
"8806","16"
"7883","13"
"10830","10"
"13893","11"
"13434","15"
"3892","11"
"2237","2"
"6798","17"
"7649","0"
"11461","1"
"5203","18"
"2046","12"
"8206","0"
"10857","18"
"4354","9"
"6210","4"
"7329","18"
"1090","12"
"12038","13"
"962","13"
"9026","2"
"7758","9"
"9220","5"
"5122","0"
"16420","19"
"2212","18"
"16621","4"
"5213","18"
"19781","10"
"8629","2"
"10170","7"
"13738","5"
"11562","16"
"6061","3"
"17263","18"
"5337","3"
"2021","12"
"13008","4"
"10810","15"
"1908","18"
"10897","6"
"3231","13"
"5138","9"
"13728","3"
"11633","0"
"18035","2"
"11322","14"
"18555","17"
"8342","17"
"9822","0"
"4509","5"
"16381","8"
"408","0"
"9711","5"
"49","8"
"15289","10"
"11130","9"
"1132","19"
"10006","11"
"1274","7"
"18696","15"
"11382","13"
"11350","18"
"5800","6"
"11929","3"
"18666","17"
"2628","2"
"6851","17"
"16815","15"
"1149","8"
"14335","16"
"7556","1"
"14419","11"
"19837","16"
"13773","16"
"6848","15"
"2971","15"
"17940","5"
"19074","3"
"9766","3"
"1798","10"
"3334","11"
"17400","1"
"9598","16"
"4861","16"
"6415","17"
"8342","0"
"16105","1"
"12561","16"
"8807","8"
"17548","14"
"4197","2"
"6977","3"
"18208","12"
"5074","6"
"8104","8"
"3922","7"
"12836","13"
"11502","6"
"11746","16"
"18038","12"
"14585","19"
"9324","6"
"15485","0"
"18088","18"
"5278","15"
"1189","8"
"6942","8"
"11692","16"
"15149","11"
"3771","5"
"7107","6"
"1009","9"
"18873","5"
"3961","2"
"9796","1"
"5648","7"
"6639","11"
"5268","7"
"3059","2"
"6732","18"
"12598","8"
"6478","17"
"7422","17"
"7889","13"
"16784","5"
"1423","5"
"1514","16"
"4470","13"
"7129","9"
"8908","19"
"13015","4"
"13277","4"
"6948","17"
"15299","0"
"13888","9"
"16048","7"
"3","0"
"14266","15"
"3673","14"
"15619","15"
"4925","12"
"11620","7"
"19857","14"
"11574","11"
"11863","14"
"2877","14"
"9648","8"
"2098","15"
"11822","13"
"9419","19"
"17591","7"
"18505","14"
"14713","15"
"10141","9"
"14852","14"
"9783","9"
"15145","2"
"5613","1"
"17293","16"
"17157","2"
"13737","4"
"6111","19"
"10466","1"
"1762","9"
"14784","15"
"4962","13"
"2413","7"
"8970","6"
"15467","9"
"7595","7"
"4786","5"
"1153","12"
"15718","12"
"19454","8"
"6545","11"
"6870","14"
"17282","18"
"6759","15"
"15137","11"
"16706","18"
"8909","10"
"3322","19"
"6804","9"
"1128","17"
"18511","9"
"14297","8"
"17496","8"
"9013","11"
"6857","6"
"4908","13"
"5394","10"
"3102","1"
"6197","10"
"15559","8"
"14178","11"
"11462","13"
"4138","19"
"7049","19"
"1859","18"
"7351","3"
"15831","4"
"15993","18"
"969","10"
