"totalCost","totalQty"
"19872","11"
"2695","2"
"9271","16"
"1692","6"
"1847","16"
"790","11"
"11030","19"
"16355","12"
"10283","10"
"8474","13"
"3818","8"
"2119","7"
"11321","13"
"16311","9"
"16531","12"
"16668","14"
"12504","0"
"11101","3"
"11182","17"
"350","18"
"9849","9"
"12743","12"
"7699","10"
"5203","16"
"1608","13"
"2231","1"
"17904","14"
"18797","10"
"10921","13"
"2845","14"
"19985","16"
"8359","7"
"19037","19"
"1039","8"
"13209","8"
"15621","18"
"14269","9"
"2256","19"
"9576","1"
"1622","6"
"4443","14"
"9642","8"
"16564","16"
"15603","16"
"3942","14"
"16341","19"
"11953","11"
"5567","7"
"4420","10"
"240","1"
"5611","3"
"5894","14"
"3638","5"
"805","11"
"105","4"
"352","9"
"7417","8"
"12230","12"
"6314","4"
"3596","8"
"14082","5"
"9844","3"
"17960","12"
"17559","18"
"5279","19"
"12020","2"
"17913","5"
"7285","15"
"986","0"
"14554","7"
"5866","3"
"4164","14"
"8854","6"
"1280","14"
"17860","1"
"1517","11"
"14833","11"
"12716","9"
"4554","3"
"1444","13"
"12675","0"
"6159","11"
"1270","2"
"17317","13"
"10939","12"
"14499","9"
"1888","19"
"9783","12"
"12550","1"
"18826","11"
"3897","16"
"4778","13"
"5545","5"
"19603","11"
"5033","8"
"9402","8"
"9124","18"
"5526","8"
"19095","18"
"10155","11"
"3790","3"
"10580","16"
"13311","11"
"13708","4"
"17789","13"
"19898","14"
"5370","3"
"15159","4"
"15229","10"
"1436","15"
"5275","0"
"15788","6"
"3349","12"
"10268","5"
"18702","2"
"7227","9"
"18216","18"
"642","11"
"8058","3"
"14233","14"
"17999","13"
"6882","6"
"13085","0"
"7750","3"
"3361","12"
"13275","7"
"15124","18"
"7695","12"
"4716","13"
"6932","18"
"14866","1"
"4936","1"
"11899","9"
"1471","12"
"16933","12"
"655","4"
"13648","11"
"5144","1"
"4950","18"
"7662","4"
"4776","9"
"11365","18"
"17991","2"
"8215","5"
"924","12"
"13268","15"
"14388","16"
"12231","8"
"3516","12"
"14817","18"
"4597","12"
"9509","5"
"1075","5"
"16175","13"
"13272","10"
"5729","3"
"11560","7"
"7020","12"
"13320","12"
"3031","17"
"2552","6"
"7951","8"
"3402","1"
"16204","8"
"11679","14"
"2651","17"
"6205","2"
"15277","3"
"15566","16"
"15643","16"
"16759","11"
"18580","17"
"15379","18"
"2566","1"
"11852","9"
"19716","18"
"54","11"
"19642","9"
"10280","10"
"19434","5"
"10775","8"
"8353","16"
"11281","15"
"11900","6"
"3059","3"
"19921","13"
"9736","1"
"7707","6"
"15870","0"
"325","4"
"5510","16"
